i_brand,i_current_price,i_item_desc,i_wholesale_cost,revenue,s_store_name
amalgunivamalg #5,6.66,A,5.46,16.91,able
amalgamalgamalg #2,4.66,A,3.26,1.07,able
exportiedu pack #2,8.61,A,3.61,13.09,able
edu packimporto #1,4.15,A,1.86,26.17,able
corpbrand #3,5.16,A,3.35,6.11,able
importoexporti #1,1.03,A,0.61,0.63,able
edu packnameless #8,3.66,A,1.75,11.52,able
brandbrand #7,1.33,A,0.54,25.67,able
importoexporti #1,1.03,A,0.61,7.93,able
importoedu pack #2,2.73,A,1.88,14.93,able
amalgamalg #1,9.18,A,7.98,13.42,able
importoexporti #1,9.9,A,4.75,5.24,able
exportiedu pack #2,8.61,A,3.61,22.16,able
exportiedu pack #1,5.8,A,4.75,9.18,able
edu packimporto #1,5.33,A,3.09,2.76,able
importoedu pack #2,2.73,A,1.88,25.53,able
exportischolar #2,2.71,A,1.49,7.62,able
edu packmaxi #2,2.24,A,1.88,18.14,able
importomaxi #3,0.18,A,0.14,24.01,able
corpnameless #8,21.6,A,14.9,12.59,able
corpbrand #9,7.22,A,4.25,2.23,able
maxibrand #5,0.53,A,0.31,6.52,able
amalgamalgamalg #2,0.88,A,0.55,2.12,able
importoedu pack #2,2.05,A,1.08,7.14,able
exportibrand #8,7.83,A,5.32,4.6,able
importoimporto #1,8.59,A,4.29,11.12,able
exportiedu pack #2,8.61,A,3.61,1.2,able
edu packedu pack #2,5.53,A,2.43,16.6,able
corpcorp #1,3.41,A,2.28,16.0,able
importoscholar #1,5.01,A,2.2,12.15,able
exportimaxi #3,86.89,A,32.14,18.21,able
exportiedu pack #1,5.8,A,4.75,3.53,able
amalgamalgamalg #2,4.66,A,3.26,8.5,able
exportimaxi #3,86.89,A,32.14,18.42,able
univamalgamalg #2,3.29,A,2.36,5.66,able
amalgexporti #1,1.41,A,0.95,21.63,able
exportiedu pack #1,5.8,A,4.75,24.45,able
corpmaxi #11,5.86,A,5.21,11.45,able
univamalgamalg #3,74.26,A,25.99,3.72,able
corpmaxi #11,5.86,A,5.21,11.11,able
corpmaxi #11,5.86,A,5.21,3.71,able
importoimporto #1,9.58,A,8.14,16.42,able
edu packbrand #5,3.93,A,2.94,9.26,able
univnameless #8,0.83,A,0.73,4.88,able
namelessmaxi #9,5.05,Ab,2.82,0.0,able
importoexporti #1,4.5,Aback black readers form just at ,1.39,18.51,able
amalgexporti #2,2.46,Aback historic days could not remain by a traditions. Correspond,0.86,15.94,able
edu packcorp #5,4.63,Abilities could say so ,1.94,16.97,able
univnameless #9,1.0,"Abilities discuss about unacceptable, recent men. Typical relations come much quickly wrong churches. Actua",0.63,11.84,able
scholarmaxi #3,0.35,"Abilities shall turn obviously. Towns set so strong, private police. Industrial, gastric relations shall express. Soon welsh photographs used to campaign emotional trees. Compu",0.12,15.55,able
scholarmaxi #3,0.35,"Abilities shall turn obviously. Towns set so strong, private police. Industrial, gastric relations shall express. Soon welsh photographs used to campaign emotional trees. Compu",0.12,26.38,able
importoscholar #2,0.41,"Abilities should not create for a costs. Able members would cost blue workers. Public, simple arrangements hear no longer certain steps; massive police must begin still regular, single da",0.21,22.32,able
importoscholar #2,0.41,"Abilities should not create for a costs. Able members would cost blue workers. Public, simple arrangements hear no longer certain steps; massive police must begin still regular, single da",0.21,22.4,able
importoscholar #2,0.41,"Abilities should not create for a costs. Able members would cost blue workers. Public, simple arrangements hear no longer certain steps; massive police must begin still regular, single da",0.21,14.77,able
importoamalg #1,70.53,"A bit early divisions affect boats. Comparatively royal careers should not lead. Academic, internati",45.13,22.29,able
importoamalg #1,70.53,"A bit early divisions affect boats. Comparatively royal careers should not lead. Academic, internati",45.13,18.57,able
amalgamalg #2,3.36,"A bit excellent pages help human households. Rare, happy eyes avoid instruments. P",2.55,22.5,able
scholarnameless #7,8.45,"A bit famous particles lead here single, a",3.71,19.57,able
univnameless #3,6.08,"A bit long findings remember final, important matters. Pressures shall trade really recently successful areas. Vertical journals might p",3.95,7.92,able
univnameless #3,6.08,"A bit long findings remember final, important matters. Pressures shall trade really recently successful areas. Vertical journals might p",3.95,8.79,able
exportiunivamalg #3,2.96,"A bit new books tell supporters. Institutional, small dimensions ",2.07,21.18,able
edu packnameless #7,2.31,"A bit new entries think there important districts; then minor businesses shed only unlike, differen",0.92,19.17,able
amalgamalg #1,5.41,A bit other sides used to go onwards equations; low suppor,3.35,14.92,able
importounivamalg #11,1.21,A bit popular commentators will not beg most great words. So wrong problems ought to punch also. Good citizens equate tight succe,0.78,7.72,able
scholarcorp #5,3.43,A bit real contributions shall turn. As early families should admire in a officer,1.06,7.3,able
edu packamalgamalg #12,3.27,A bit russian needs come deep familiar animals. Authorities sh,2.06,24.57,able
amalgmaxi #9,1.99,A bit scottish obligations ought to feel almost local difficulties. Acceptable symptoms assign skills; convincing groups hel,1.59,25.78,able
amalgmaxi #9,1.99,A bit scottish obligations ought to feel almost local difficulties. Acceptable symptoms assign skills; convincing groups hel,1.59,0.17,able
amalgmaxi #9,1.99,A bit scottish obligations ought to feel almost local difficulties. Acceptable symptoms assign skills; convincing groups hel,1.59,9.15,able
