i_brand,i_current_price,i_item_desc,i_wholesale_cost,revenue,s_store_name
importoedu pack #2,2.73,A,1.88,7.74,able
exportibrand #8,7.83,A,5.32,0.0,able
edu packunivamalg #9,2.0,A,1.24,10.42,able
edu packimporto #1,5.33,A,3.09,0.0,able
amalgedu pack #2,9.74,A,4.96,7.31,able
univamalgamalg #2,3.29,A,2.36,4.81,able
edu packunivamalg #9,2.0,A,1.24,1.15,able
univnameless #8,0.83,A,0.73,0.0,able
maxibrand #7,6.51,A,4.42,5.21,able
exportiedu pack #2,8.61,A,3.61,1.28,able
importoexporti #1,9.9,A,4.75,0.53,able
edu packexporti #1,8.69,A,4.17,5.12,able
edu packexporti #1,8.69,A,4.17,0.65,able
exportiimporto #1,6.39,A,5.68,2.4,able
importounivamalg #5,0.58,A,0.17,2.0,able
exportiimporto #1,6.39,A,5.68,7.0,able
edu packmaxi #2,2.24,A,1.88,8.66,able
edu packedu pack #1,3.06,A,2.32,2.32,able
amalgmaxi #7,6.36,A,2.09,1.27,able
importonameless #2,2.59,A,1.83,9.62,able
univnameless #8,0.83,A,0.73,1.47,able
importoedu pack #2,3.33,A,1.99,10.34,able
edu packimporto #1,4.15,A,1.86,5.98,able
exportiamalg #2,1.1,A,0.49,2.95,able
amalgamalgamalg #2,0.88,A,0.55,3.95,able
importoedu pack #2,2.73,A,1.88,9.59,able
importoedu pack #2,2.73,A,1.88,8.48,able
importoedu pack #2,2.73,A,1.88,2.85,able
edu packimporto #1,4.15,A,1.86,4.37,able
edu packimporto #1,4.15,A,1.86,9.77,able
importoexporti #1,9.9,A,4.75,2.0,able
univamalgamalg #2,3.29,A,2.36,6.05,able
importoexporti #1,1.03,A,0.61,8.24,able
edu packunivamalg #9,2.0,A,1.24,1.87,able
corpmaxi #11,5.86,A,5.21,6.77,able
corpnameless #8,21.6,A,14.9,2.61,able
edu packedu pack #1,3.06,A,2.32,9.17,able
edu packbrand #5,3.93,A,2.94,4.3,able
amalgexporti #1,1.41,A,0.95,0.0,able
exportiedu pack #2,8.61,A,3.61,4.08,able
exportibrand #8,7.83,A,5.32,0.39,able
corpbrand #9,7.22,A,4.25,5.82,able
amalgamalg #1,9.18,A,7.98,7.35,able
univnameless #8,0.83,A,0.73,6.58,able
